name,gender,wikipedia_page,award_comb,state,first_honours_date,first_honours_year,pre_post_wikipedia,wikipedia_url,wikipedia_page_id,award_id,wp_creation_date,honours_date,wikipedia_creation_year,honours_year,award_name,announcement_event,division,citation,person_description,number_of_honours,new_honours_date,new_honours_year,wp_creation_year,time_diff,year_diff,wikipedia_week,new_honours_week,week_diff
Kevin Sheehan,Male,Yes,OAM,VIC,2013-01-25,2013,Post,https://en.wikipedia.org/wiki/Kevin_Sheehan,20914675,1147195,2009-01-02,2013-01-25,2009,2013,Medal of the Order of Australia,Australia Day 2013 Honours List,G,For service to the sport of Australian rules football.,Australian rules footballer,1,2013-01-25,2013,2009,-1484,-4,2009-W01,2013-W04,-212
Kevin Short (RNZAF officer),Male,Yes,AO,Other,2022-04-30,2022,Post,https://en.wikipedia.org/wiki/Kevin_Short_(RNZAF_officer),49247576,2011931,2016-01-28,2022-04-30,2016,2022,Officer of the Order of Australia,Honorary Appointment - Military Division - July 2022,HM,"For distinguished service in fostering the military relationship between Australia and New Zealand through exceptional leadership, unwavering commitment, strategic foresight and uncompromising professionalism.",New Zealand air force officer,1,2022-04-30,2022,2016,-2284,-6,2016-W04,2022-W17,-327
Kevin Siddell,Male,Yes,OAM,QLD,1982-01-25,1982,Pre,https://en.wikipedia.org/wiki/Kevin_Siddell,59060916,870146,2018-11-15,1982-01-25,2018,1982,Medal of the Order of Australia,Australia Day 1982 Honours List,G,OAM AD1982. FOR SERVICE TO MUSIC,"New Zealand-born Australian pianist, composer, and public service official (1924-2004)",1,2001-01-15,2001,2018,6513,17,2018-W46,2001-W03,930
Kevin Stewart (Australian politician),Male,Yes,AO,NSW,1989-01-25,1989,Pre,https://en.wikipedia.org/wiki/Kevin_Stewart_(Australian_politician),22928888,885508,2009-05-24,1989-01-25,2009,1989,Officer of the Order of Australia,Australia Day 1989 Honours List,G,AO AUST DAY 1989. FOR SERVICE TO THE NEW SOUTH WALES PARILIAMENT AND AS A NEW SOUTH WALES AGENT-GENERAL IN LONDON,Australian politician (1928-2006),1,2001-01-15,2001,2009,3051,8,2009-W21,2001-W03,435
Kevin Weldon,Male,Yes,AM,NSW,1994-06-09,1994,Pre,https://en.wikipedia.org/wiki/Kevin_Weldon,15179564,870730,2008-01-13,1994-06-09,2008,1994,Member of the Order of Australia,The Queen's Birthday 1994 Honours List,G,AM/FOR SERVICE TO THE PUBLISHING INDUSTRY AND TO WATER SAFETY AS PRESIDENT OF WORLD LIFE SAVING. QUEEN'S B'DAY 1994,Australian publisher,1,2001-01-15,2001,2008,2554,7,2008-W02,2001-W03,364
Khoo Boon Hui,Male,Yes,AO,Other,2007-05-17,2007,Post,https://en.wikipedia.org/wiki/Khoo_Boon_Hui,2525122,1141660,2005-08-24,2007-05-17,2005,2007,Officer of the Order of Australia,NA,HG,"For service to Australia-Singapore relations, particularly to regional security and combating transnational crime.",Singaporean police chief,1,2007-05-17,2007,2005,-631,-2,2005-W34,2007-W20,-91
Kial Stewart,Male,Yes,OAM,ACT,2005-01-25,2005,Post,https://en.wikipedia.org/wiki/Kial_Stewart,33299452,1058091,2011-10-04,2005-01-25,2011,2005,Medal of the Order of Australia,Australia Day 2005 Honours List,NA,For service to sport as a Gold Medallist at the Athens 2004 Paralympic Games.,Australian Paralympic tandem cycling pilot,1,2005-01-25,2005,2011,2443,6,2011-W40,2005-W04,349
Kieran Ault-Connell,Male,Yes,OAM,VIC,2001-01-25,2001,Post,https://en.wikipedia.org/wiki/Kieran_Ault-Connell,33122198,886926,2011-09-18,2001-01-25,2011,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Paralympic Games Sydney 2000.,Australian Paralympic athlete,1,2001-01-25,2001,2011,3888,10,2011-W37,2001-W04,555
Kieran Modra,Male,Yes,AM,SA,1997-01-25,1997,Pre,https://en.wikipedia.org/wiki/Kieran_Modra,19215704,1148945,2008-09-07,2014-01-25,2008,2014,Member of the Order of Australia,Australia Day 2014 Honours List,G,"For significant service to sport as an athlete representing Australia at Paralympic Games, and to people who are blind or have low vision.",Australian cyclist,2,2001-01-15,2001,2008,2792,7,2008-W36,2001-W03,398
Kieren Perkins,Male,Yes,OAM,QLD,1993-01-25,1993,Pre,https://en.wikipedia.org/wiki/Kieren_Perkins,211208,886443,2003-04-16,1993-01-25,2003,1993,Medal of the Order of Australia,Australia Day 1993 Honours List,G,"OAM/FOR SERVICE TO SPORT AS A GOLD MEDALLIST IN THE 1500 METRES FREESTYLE SWIMMING EVENT AT THE OLYMPIC GAMES, BARCELONA, 1992. JAN 93 AUST DAY HONOURS",Australian swimmer,1,2001-01-15,2001,2003,821,2,2003-W16,2001-W03,117
Kiernan Dorney,Male,Yes,AM,QLD,1992-01-25,1992,Pre,https://en.wikipedia.org/wiki/Kiernan_Dorney,44724249,874722,2014-12-15,1992-01-25,2014,1992,Member of the Order of Australia,Australia Day 1992 Honours List,G,In recognition of service to the welfare of the aged and disabled,Australian surgeon,1,2001-01-15,2001,2014,5082,13,2014-W51,2001-W03,726
Kim Beazley,Male,Yes,AC,WA,2009-01-25,2009,Post,https://en.wikipedia.org/wiki/Kim_Beazley,322538,1139644,2003-09-20,2009-01-25,2003,2009,Companion of the Order of Australia,Australia Day 2009 Honours List,G,"For service to the Parliament of Australia through contributions to the development of government policies in relation to defence and international relations, as an advocate for Indigenous people, and to the community.","Australian politician, academic, diplomat, and viceroy",1,2009-01-25,2009,2003,-1954,-6,2003-W38,2009-W04,-280
Kim Brennan,Female,Yes,AM,ACT,2017-01-25,2017,Post,https://en.wikipedia.org/wiki/Kim_Brennan,30748679,1154684,2011-02-05,2017-01-25,2011,2017,Member of the Order of Australia,Australia Day 2017 Honours List,G,"For significant service to rowing, to the welfare of elite athletes, to sport as a gold medallist at the Rio 2016 Olympic Games, and to the community.",Australian rower,1,2017-01-25,2017,2011,-2181,-6,2011-W05,2017-W04,-312
Kim Carpenter,Male,Yes,AM,NSW,2013-06-09,2013,Post,https://en.wikipedia.org/wiki/Kim_Carpenter,53999184,1147784,2017-05-09,2013-06-09,2017,2013,Member of the Order of Australia,The Queen's Birthday 2013 Honours List,G,For significant service to the performing arts.,"Australian visual artist, theatre director, designer and devisor",1,2013-06-09,2013,2017,1430,4,2017-W19,2013-W23,204
Kim Dalton,Male,Yes,OAM,NSW,2007-06-10,2007,Post,https://en.wikipedia.org/wiki/Kim_Dalton,18568725,1134896,2008-07-25,2007-06-10,2008,2007,Medal of the Order of Australia,The Queen's Birthday 2007 Honours List,G,"For service to the film and television industry  as a leader in policy debate amongst government agencies and the industry, as a mentor of independent and Indigenous producers, and as a promoter of emerging visual technology.",Australian television executive,1,2007-06-10,2007,2008,411,1,2008-W30,2007-W23,58
Kim McKay,Female,Yes,AO,NSW,2008-06-08,2008,Post,https://en.wikipedia.org/wiki/Kim_McKay,30714583,1138603,2011-02-02,2008-06-08,2011,2008,Officer of the Order of Australia,The Queen's Birthday 2008 Honours List,G,"For service to the environment through executive public relations roles with a range of organisations, particularly as co-founder of Clean Up Australia and Clean Up the World, and to the community.",Australian environmentalist,1,2008-06-08,2008,2011,969,3,2011-W05,2008-W23,138
Kim Santow,Male,Yes,AO,NSW,1990-01-25,1990,Pre,https://en.wikipedia.org/wiki/Kim_Santow,3469826,1134672,2005-12-20,2007-06-10,2005,2007,Officer of the Order of Australia,The Queen's Birthday 2007 Honours List,G,"For service to the judiciary and to the law; to education, particularly in the area of university governance, and to the arts.",Australian judge (1941-2008),2,2001-01-15,2001,2005,1800,4,2005-W51,2001-W03,257
Kim Williams (media executive),Male,Yes,AM,NSW,2006-06-11,2006,Post,https://en.wikipedia.org/wiki/Kim_Williams_(media_executive),40275158,1132996,2013-08-18,2006-06-11,2013,2006,Member of the Order of Australia,The Queen's Birthday 2006 Honours List,G,"For service to arts administration through executive roles with a range of cultural organisations, to music education and the formulation of arts related public policy.",Australian media executive,1,2006-06-11,2006,2013,2625,7,2013-W33,2006-W23,375
Kingsley Bugarin,Male,Yes,OAM,WA,1997-01-25,1997,Pre,https://en.wikipedia.org/wiki/Kingsley_Bugarin,18903397,887493,2008-08-18,1997-01-25,2008,1997,Medal of the Order of Australia,Australia Day 1997 Honours List,G,In recognition of service to sport as a gold medallist at the Atlanta Paralympic Games 1996,Australian swimmer,1,2001-01-15,2001,2008,2772,7,2008-W34,2001-W03,396
Kira Bousloff,Female,Yes,OAM,WA,1987-06-07,1987,Pre,https://en.wikipedia.org/wiki/Kira_Bousloff,46915305,870605,2015-06-08,1987-06-07,2015,1987,Medal of the Order of Australia,The Queen's Birthday 1987 Honours List,G,In recognition of service to ballet,Russian-Australian ballet dancer,1,2001-01-15,2001,2015,5257,14,2015-W24,2001-W03,751
Kiran Mazumdar-Shaw,Female,Yes,AM,Other,2020-02-01,2020,Post,https://en.wikipedia.org/wiki/Kiran_Mazumdar-Shaw,2938020,2009752,2005-10-19,2020-02-01,2005,2020,Member of the Order of Australia,Honorary Appointment,HG,"For significant service to advancing Australia's bilateral relationship with India, particularly in promoting commercial and educational links.","Indian entrepreneur (Biocon), billionaire",1,2020-02-01,2020,2005,-5218,-15,2005-W42,2020-W05,-746
Kiri Te Kanawa,Female,Yes,AC,Other,1990-01-25,1990,Pre,https://en.wikipedia.org/wiki/Kiri_Te_Kanawa,378926,870099,2003-11-26,1990-01-25,2003,1990,Companion of the Order of Australia,Australia Day 1990 Honours List,HG,"For service to the arts, particularly opera, and to the community.",New Zealand opera singer,1,2001-01-15,2001,2003,1045,2,2003-W48,2001-W03,149
Kirstie Marshall,Female,Yes,OAM,VIC,2003-06-08,2003,Post,https://en.wikipedia.org/wiki/Kirstie_Marshall,2436481,1044028,2005-08-12,2003-06-08,2005,2003,Medal of the Order of Australia,The Queen's Birthday 2003 Honours List,NA,"For service to skiing as a competitor, adviser and administrator.",Australian skier and politician,1,2003-06-08,2003,2005,796,2,2005-W32,2003-W23,113
Kirsty Sword Gusmão,Female,Yes,AO,VIC,2015-06-07,2015,Post,https://en.wikipedia.org/wiki/Kirsty_Sword_Gusm%C3%A3o,5311715,1151784,2006-05-27,2015-06-07,2006,2015,Officer of the Order of Australia,The Queen's Birthday 2015 Honours List,G,"For distinguished service to Australia-Timor-Leste relations through the development of mutual cooperation and understanding, particularly in the education sector, and as an advocate for improved health and living conditions for the Timorese people.",East Timorese activist,1,2015-06-07,2015,2006,-3298,-9,2006-W21,2015-W23,-472
Kitty Chiller,Female,Yes,AM,VIC,2019-01-25,2019,Post,https://en.wikipedia.org/wiki/Kitty_Chiller,43671997,2003408,2014-08-27,2019-01-25,2014,2019,Member of the Order of Australia,Australia Day 2019 Honours List,G,"For significant service to sport, particularly as a modern pentathlon competitor and administrator.",Australian modern pentathlete,1,2019-01-25,2019,2014,-1612,-5,2014-W35,2019-W04,-231
Klaus Moje,Male,Yes,AO,NSW,2006-03-15,2006,Post,https://en.wikipedia.org/wiki/Klaus_Moje,35574367,1129451,2012-04-22,2006-03-15,2012,2006,Officer of the Order of Australia,Honorary Appointments,HG,For service to the visual arts as a glass artist.,German–Australian glass artist (1936-2016),1,2006-03-15,2006,2012,2230,6,2012-W16,2006-W11,318
Klytie Pate,Female,Yes,OAM,VIC,1991-06-09,1991,Pre,https://en.wikipedia.org/wiki/Klytie_Pate,27712331,869693,2010-06-15,1991-06-09,2010,1991,Medal of the Order of Australia,The Queen's Birthday 1991 Honours List,G,"OAM/QUEENS BIRTHDAY 91 (GENERAL DIVISION). FOR SERVICE TO THE ARTS, PARTICULARLY CERAMIC ART AND SCULPTURE",Australian artist (1912–2010),1,2001-01-15,2001,2010,3438,9,2010-W24,2001-W03,491
Konstantinos Mitsotakis,Male,Yes,AC,Other,1992-02-05,1992,Pre,https://en.wikipedia.org/wiki/Konstantinos_Mitsotakis,464282,882091,2004-02-11,1992-02-05,2004,1992,Companion of the Order of Australia,NA,HG,For eminent service to Australian/Greek relations.,Greek politician (1918-2017),1,2001-01-15,2001,2004,1122,3,2004-W07,2001-W03,160
Kumantje Jagamara,Male,Yes,AM,NT,1993-01-25,1993,Pre,https://en.wikipedia.org/wiki/Kumantje_Jagamara,19985521,869951,2008-10-30,1993-01-25,2008,1993,Member of the Order of Australia,Australia Day 1993 Honours List,G,"For service to art. Gazette S8, Tuesday 26 January 1993.",Australian artist,1,2001-01-15,2001,2008,2845,7,2008-W44,2001-W03,406
Kurt Fearnley,Male,Yes,AO,NSW,2005-01-25,2005,Post,https://en.wikipedia.org/wiki/Kurt_Fearnley,987842,2001274,2004-09-15,2018-06-10,2004,2018,Officer of the Order of Australia,The Queen's Birthday 2018 Honours List,G,"For distinguished service to people with a disability, as a supporter of, and fundraiser for, Indigenous athletics and charitable organisations, and as a Paralympic athlete.",Australian paralympic athlete,2,2005-01-25,2005,2004,-132,-1,2004-W38,2005-W04,-19
Kurt Lambeck,Male,Yes,AC,ACT,2009-06-07,2009,Post,https://en.wikipedia.org/wiki/Kurt_Lambeck,15718381,2009384,2008-02-12,2021-06-13,2008,2021,Companion of the Order of Australia,The Queen's Birthday 2021 Honours List,G,"For eminent service to science, particularly to geophysics and geodesy, through research roles at the national and international level, to professional scientific organisations, and to education.",Dutch–Australian geophysicist,2,2009-06-07,2009,2008,-481,-1,2008-W07,2009-W23,-69
Kurt M. Campbell,Male,Yes,AO,Other,2013-11-24,2013,Post,https://en.wikipedia.org/wiki/Kurt_M._Campbell,13890388,1148643,2007-10-24,2013-11-24,2007,2013,Officer of the Order of Australia,Honorary Appointments,HG,For service to strengthening bilateral relations between Australia and the United States of America.,American diplomat,1,2013-11-24,2013,2007,-2223,-6,2007-W43,2013-W47,-318
Kyle Chalmers,Male,Yes,OAM,SA,2017-01-25,2017,Post,https://en.wikipedia.org/wiki/Kyle_Chalmers,47653846,1154891,2015-08-29,2017-01-25,2015,2017,Medal of the Order of Australia,Australia Day 2017 Honours List,G,For service to sport as a gold medallist at the Rio 2016 Olympic Games.,Australian swimmer,1,2017-01-25,2017,2015,-515,-2,2015-W35,2017-W04,-74
Kylie Kwong,Female,Yes,AM,NSW,2023-01-26,2023,Post,https://en.wikipedia.org/wiki/Kylie_Kwong,3881775,2012744,2006-01-29,2023-01-26,2006,2023,Member of the Order of Australia,Australia Day 2023 Honours List,G,"For significant service to the hospitality industry, and to the community.",Australian chef,1,2023-01-26,2023,2006,-6206,-17,2006-W04,2023-W04,-887
Kylie Minogue,Female,Yes,AO,Other,2019-01-25,2019,Post,https://en.wikipedia.org/wiki/Kylie_Minogue,16894,2002398,2001-10-04,2019-01-25,2001,2019,Officer of the Order of Australia,Australia Day 2019 Honours List,G,For distinguished service to the performing arts as a national and international recording artist and entertainer.,Australian singer and actress,1,2019-01-25,2019,2001,-6322,-18,2001-W40,2019-W04,-904
Kylie Palmer,Female,Yes,OAM,QLD,2009-01-25,2009,Post,https://en.wikipedia.org/wiki/Kylie_Palmer,16307240,1140088,2008-03-16,2009-01-25,2008,2009,Medal of the Order of Australia,Australia Day 2009 Honours List,G,For service to sport as a Gold Medallist at the Beijing 2008 Olympic Games.,"Australian swimmer, Olympic gold medallist, world champion, former world record-holder",1,2009-01-25,2009,2008,-315,-1,2008-W11,2009-W04,-45
Kylie Tennant,Female,Yes,AO,NSW,1980-01-25,1980,Pre,https://en.wikipedia.org/wiki/Kylie_Tennant,1222102,870194,2004-11-29,1980-01-25,2004,1980,Officer of the Order of Australia,Australia Day 1980 Honours List,G,AKA MRS RODD. AO AUST DAY 1980. FOR SERVICE TO LITERATURE,Australian historian and writer,1,2001-01-15,2001,2004,1414,3,2004-W49,2001-W03,202
Kym Anderson,Male,Yes,AC,SA,2015-06-07,2015,Post,https://en.wikipedia.org/wiki/Kym_Anderson,26623579,1151736,2010-03-20,2015-06-07,2010,2015,Companion of the Order of Australia,The Queen's Birthday 2015 Honours List,G,"For eminent service to higher education as a leading academic and researcher, particularly in the field of agricultural economics, to the study of international trade and poverty reduction in developing countries, and to the viticulture industry.",Australian economist,1,2015-06-07,2015,2010,-1905,-5,2010-W11,2015-W23,-273
Kym Bonython,Male,Yes,AC,SA,1981-06-07,1981,Pre,https://en.wikipedia.org/wiki/Kym_Bonython,20293465,874008,2008-11-20,1987-01-25,2008,1987,Companion of the Order of Australia,Australia Day 1987 Honours List,G,"In recognition of service to the community, particularly as Chairman of the SA Jubilee 150 Board","Australian musician, broadcaster and activist 1920–2011)",2,2001-01-15,2001,2008,2866,7,2008-W47,2001-W03,409
Kyrra Grunnsund,Male,Yes,OAM,NSW,1995-06-11,1995,Pre,https://en.wikipedia.org/wiki/Kyrra_Grunnsund,36113942,887048,2012-06-12,1995-06-11,2012,1995,Medal of the Order of Australia,The Queen's Birthday 1995 Honours List,G,OAM/FOR SERVICE TO PEOPLE WITH DISABILITIES PARTICULARY THROUGH SPORT. QUEENS BIRTHDAY 1995,Australian Paralympic skier and athlete,1,2001-01-15,2001,2012,4166,11,2012-W24,2001-W03,595
Lachlan Jones,Male,Yes,OAM,VIC,1997-01-25,1997,Pre,https://en.wikipedia.org/wiki/Lachlan_Jones,32916063,886858,2011-08-30,1997-01-25,2011,1997,Medal of the Order of Australia,Australia Day 1997 Honours List,G,For service to sport as a gold medallist at the Atlanta Paralympic Games.,Australian Paralympic athlete,1,2001-01-15,2001,2011,3879,10,2011-W35,2001-W03,554
Lakeisha Patterson,Female,Yes,OAM,QLD,2017-01-25,2017,Post,https://en.wikipedia.org/wiki/Lakeisha_Patterson,47259817,1155166,2015-07-17,2017-01-25,2015,2017,Medal of the Order of Australia,Australia Day 2017 Honours List,G,For service to sport as a gold medallist at the Rio 2016 Paralympic Games.,Australian swimmer,1,2017-01-25,2017,2015,-558,-2,2015-W29,2017-W04,-80
Lana Cantrell,Female,Yes,AM,Other,2003-01-25,2003,Post,https://en.wikipedia.org/wiki/Lana_Cantrell,23726890,1042163,2009-07-24,2003-01-25,2009,2003,Member of the Order of Australia,Australia Day 2003 Honours List,NA,"For service to the entertainment industry, and for assistance to the Australian community in New York.",Australian-American singer and entertainment lawyer,1,2003-01-25,2003,2009,2372,6,2009-W30,2003-W04,338
Lance Barnard,Male,Yes,AO,TAS,1979-01-25,1979,Pre,https://en.wikipedia.org/wiki/Lance_Barnard,579132,884457,2004-04-06,1979-01-25,2004,1979,Officer of the Order of Australia,Australia Day 1979 Honours List,G,In recognition of service to politics and government,"Australian politician, 3rd Deputy Prime Minister of Australia (1919-1997)",1,2001-01-15,2001,2004,1177,3,2004-W15,2001-W03,168
Lance Shilton,Male,Yes,AM,NSW,1985-06-09,1985,Pre,https://en.wikipedia.org/wiki/Lance_Shilton,39982587,885772,2013-07-17,1985-06-09,2013,1985,Member of the Order of Australia,The Queen's Birthday 1985 Honours List,G,AM QB 85. FOR SERVICE TO RELIGION,Anglican dean,1,2001-01-15,2001,2013,4566,12,2013-W29,2001-W03,652
Lara Davenport,Female,Yes,OAM,NSW,2009-01-25,2009,Post,https://en.wikipedia.org/wiki/Lara_Davenport,18856567,1139884,2008-08-14,2009-01-25,2008,2009,Medal of the Order of Australia,Australia Day 2009 Honours List,G,For service to sport as a Gold Medallist at the Beijing 2008 Olympic Games.,"Australian swimmer, Olympic gold medallist",1,2009-01-25,2009,2008,-164,-1,2008-W33,2009-W04,-24
Larissa Behrendt,Female,Yes,AO,NSW,2020-01-25,2020,Post,https://en.wikipedia.org/wiki/Larissa_Behrendt,3170659,2005582,2005-11-16,2020-01-25,2005,2020,Officer of the Order of Australia,Australia Day 2020 Honours List,G,"For distinguished service to Indigenous education and research, to the law, and to the visual and performing arts.",Indigenous Australian academic and writer,1,2020-01-25,2020,2005,-5183,-15,2005-W46,2020-W04,-741
Larry Anthony,Male,Yes,AO,QLD,2022-06-13,2022,Post,https://en.wikipedia.org/wiki/Larry_Anthony,556761,2011480,2004-03-27,2022-06-13,2004,2022,Officer of the Order of Australia,The Queen's Birthday 2022 Honours List,G,"For distinguished service to the people and Parliament of Australia, to political institutions, to business, and youth leadership organisations.",Australian politician (born 1961),1,2022-06-13,2022,2004,-6652,-18,2004-W13,2022-W24,-951
Larry Sitsky,Male,Yes,AO,ACT,2000-01-25,2000,Pre,https://en.wikipedia.org/wiki/Larry_Sitsky,2722379,1154647,2005-09-21,2017-01-25,2005,2017,Officer of the Order of Australia,Australia Day 2017 Honours List,G,"For distinguished service to the arts as a composer and concert pianist, to music education as a researcher and mentor, and through musical contributions to Australia's contemporary culture.",Australian composer,2,2001-01-15,2001,2005,1710,4,2005-W38,2001-W03,244
Lauren Burns,Female,Yes,OAM,VIC,2001-01-25,2001,Post,https://en.wikipedia.org/wiki/Lauren_Burns,16786543,887224,2008-04-06,2001-01-25,2008,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Sydney 2000 Olympic Games.,Australian martial artist,1,2001-01-25,2001,2008,2628,7,2008-W14,2001-W04,375
Lauren Jackson,Female,Yes,AO,NSW,2015-06-07,2015,Post,https://en.wikipedia.org/wiki/Lauren_Jackson,35678670,1151762,2004-04-13,2015-06-07,2004,2015,Officer of the Order of Australia,The Queen's Birthday 2015 Honours List,G,"For distinguished service to basketball as an athlete at the national and international level, as a mentor for women in sport, and as a supporter of a range of cultural and social welfare groups.",Australian basketball player,1,2015-06-07,2015,2004,-4072,-11,2004-W16,2015-W23,-582
Laurence Brodie-Hall,Male,Yes,AO,WA,1993-01-25,1993,Pre,https://en.wikipedia.org/wiki/Laurence_Brodie-Hall,22317457,884286,2009-04-08,1993-01-25,2009,1993,Officer of the Order of Australia,Australia Day 1993 Honours List,G,In recognition of service to mining.,Australian businessman (1910-2006),1,2001-01-15,2001,2009,3005,8,2009-W15,2001-W03,429
Laurence McIntyre,Male,Yes,AC,ACT,1979-01-25,1979,Pre,https://en.wikipedia.org/wiki/Laurence_McIntyre,49644637,885297,2016-03-05,1979-01-25,2016,1979,Companion of the Order of Australia,Australia Day 1979 Honours List,G,AC AUSTRALIA DAY 1979. FOR PUBLIC SERVICE. KT BACH NY 1963. (OBE NY 1953). CBE NY 1960,Australian diplomat,1,2001-01-15,2001,2016,5528,15,2016-W09,2001-W03,789
Laurence Street,Male,Yes,AC,NSW,1989-06-11,1989,Pre,https://en.wikipedia.org/wiki/Laurence_Street,5147194,882318,2006-05-15,1989-06-11,2006,1989,Companion of the Order of Australia,The Queen's Birthday 1989 Honours List,G,KCMG QC. AC QB89. FOR SERVICE TO THE LAW AND TO THE CROWN,Australian judge,1,2001-01-15,2001,2006,1946,5,2006-W20,2001-W03,278
Laurie Hergenhan,Male,Yes,AO,QLD,1994-06-09,1994,Pre,https://en.wikipedia.org/wiki/Laurie_Hergenhan,38488786,881215,2013-02-12,1994-06-09,2013,1994,Officer of the Order of Australia,The Queen's Birthday 1994 Honours List,G,For service to Australian literary scholarship and to education.,Australian literary critic,1,2001-01-15,2001,2013,4411,12,2013-W07,2001-W03,630
Laurie Kelly (politician),Male,Yes,AM,NSW,1990-01-25,1990,Pre,https://en.wikipedia.org/wiki/Laurie_Kelly_(politician),27213286,884412,2010-05-04,1990-01-25,2010,1990,Member of the Order of Australia,Australia Day 1990 Honours List,G,For service to the New South Wales Parliament and to the community.,Australian politician,1,2001-01-15,2001,2010,3396,9,2010-W18,2001-W03,485
Laurie Short,Male,Yes,AO,NSW,1980-01-25,1980,Pre,https://en.wikipedia.org/wiki/Laurie_Short,22125352,881855,2009-03-25,1980-01-25,2009,1980,Officer of the Order of Australia,Australia Day 1980 Honours List,G,AO AUST DAY 80. OBE NY 71. FOR SERVICE TO TRADE UNIONISM,Australian trade unionist,1,2001-01-15,2001,2009,2991,8,2009-W13,2001-W03,427
Lauris Elms,Female,Yes,AM,NSW,1982-01-25,1982,Pre,https://en.wikipedia.org/wiki/Lauris_Elms,20527172,869965,2008-12-03,1982-01-25,2008,1982,Member of the Order of Australia,Australia Day 1982 Honours List,G,In recognition of service to music.,singer,1,2001-01-15,2001,2008,2879,7,2008-W49,2001-W03,411
Lawrence O'Donnell (general),Male,Yes,AC,ACT,1986-01-25,1986,Pre,https://en.wikipedia.org/wiki/Lawrence_O%27Donnell_(general),26989153,879273,2010-04-18,1989-06-11,2010,1989,Companion of the Order of Australia,The Queen's Birthday 1989 Honours List,M,AO NY86 NSW. AC QB89 MILITARY DIVISION. FOR SERVICE TO THE AUSTRALIAN ARMY AS CHIEF OF THE GENERAL STAFF,Australian general,2,2001-01-15,2001,2010,3380,9,2010-W15,2001-W03,482
Lawrence Springborg,Male,Yes,AM,QLD,2020-06-06,2020,Post,https://en.wikipedia.org/wiki/Lawrence_Springborg,1059577,2006688,2004-10-12,2020-06-06,2004,2020,Member of the Order of Australia,The Queen's Birthday 2020 Honours List,G,"For significant service to the Parliament of Queensland, and to the community of the Southern Downs.",Australian politician,1,2020-06-06,2020,2004,-5716,-16,2004-W42,2020-W23,-817
Lawrie Willett,Male,Yes,AO,NSW,1994-06-09,1994,Pre,https://en.wikipedia.org/wiki/Lawrie_Willett,46310175,885206,2015-04-04,1994-06-09,2015,1994,Officer of the Order of Australia,The Queen's Birthday 1994 Honours List,G,"AO/FOR SERVICE TO PUBLIC ADMINISTRATION, TO EDUCATION AND TO THE COMMUNITY. QUEEN'S B'DAY 1994",Australian public servant and university Chancellor,1,2001-01-15,2001,2015,5192,14,2015-W14,2001-W03,741
Layne Beachley,Female,Yes,AO,NSW,2015-01-25,2015,Post,https://en.wikipedia.org/wiki/Layne_Beachley,1638687,1150745,2005-03-23,2015-01-25,2005,2015,Officer of the Order of Australia,Australia Day 2015 Honours List,G,"For distinguished service to the community through support for a range of charitable organisations, as a mentor for women in sport, and to surfing as a world champion competitor.",Australian surfer,1,2015-01-25,2015,2005,-3595,-10,2005-W12,2015-W04,-514
Lea Waters,Female,Yes,AM,VIC,2020-01-25,2020,Post,https://en.wikipedia.org/wiki/Lea_Waters,63731626,2005924,2020-04-22,2020-01-25,2020,2020,Member of the Order of Australia,Australia Day 2020 Honours List,G,"For significant service to education, and to psychology.",Australian psychologist,1,2020-01-25,2020,2020,88,0,2020-W17,2020-W04,12
Leah Purcell,Female,Yes,AM,NSW,2021-06-13,2021,Post,https://en.wikipedia.org/wiki/Leah_Purcell,2831434,2008586,2005-10-04,2021-06-13,2005,2021,Member of the Order of Australia,The Queen's Birthday 2021 Honours List,G,"For significant service to the performing arts, to First Nations youth and culture, and to women.",Australian actress and film director,1,2021-06-13,2021,2005,-5731,-16,2005-W40,2021-W23,-819
Leanne Benjamin,Female,Yes,AM,Other,2015-01-25,2015,Post,https://en.wikipedia.org/wiki/Leanne_Benjamin,12379151,1150792,2007-07-22,2015-01-25,2007,2015,Member of the Order of Australia,Australia Day 2015 Honours List,G,"For significant service to the performing arts, particularly ballet, as a dancer and role model.",Australian ballet dancer,1,2015-01-25,2015,2007,-2744,-8,2007-W29,2015-W04,-392
Lee Kernaghan,Male,Yes,OAM,Other,2004-01-25,2004,Post,https://en.wikipedia.org/wiki/Lee_Kernaghan,2193612,1056303,2005-07-09,2004-01-25,2005,2004,Medal of the Order of Australia,Australia Day 2004 Honours List,NA,"For service to remote and regional communities through the 'Pass the Hat Around' fundraising concerts, and to country music as an artist and performer.",Australian country musician,1,2004-01-25,2004,2005,531,1,2005-W27,2004-W04,75
Lee Robinson (director),Male,Yes,OAM,NSW,1985-01-25,1985,Pre,https://en.wikipedia.org/wiki/Lee_Robinson_(director),24456243,883193,2009-09-24,1985-01-25,2009,1985,Medal of the Order of Australia,Australia Day 1985 Honours List,G,OAM AD85. FOR SERVICE TO THE AUSTRALIAN FILM AND TELEVISION INDUSTRY,Australian film director,1,2001-01-15,2001,2009,3174,8,2009-W39,2001-W03,453
